"canonical_artist","spotify_release_id","spotify_title","spotify_normalized_title","spotify_release_type","spotify_version","spotify_date","spotify_track_count","apple_collection_id","apple_title","apple_normalized_title","apple_release_type","apple_version","apple_date","apple_track_count","date_difference_days","track_title_overlap","artist_credit_compatible","match_state","match_reason","risk_flags"
"G-Space","6Iz3uHSKIvWkcaonwycsDS","BIRFDAY","birfday","single","","2026-06-05","1","6776041356","BIRFDAY - Single","birfday single","single","","2026-07-05","1","30","1","true","ambiguous_match","One normalized title contains the other.; Version markers are compatible.; Release dates differ by more than 14 days.","non-exact normalized title; date difference greater than one day; identity mapping target-window-assisted"
"G-Space","7aWfTqq24gEPCc2sLulOWv","Lost In Me","lost in me","feature","","2026-06-12","1","6768775240","Lost in Me - Single","lost in me single","single","","2026-06-12","1","0","1","false","strong_probable_match","One normalized title contains the other.; Version markers are compatible.; Release dates differ by at most one day.; Track counts agree.","non-exact normalized title; credited appearance; collection-level artist-credit incompatibility; identity mapping target-window-assisted"
"G-Space","4EBtnjPY0WweJ4bPFon4aX","Cross Your Mind","cross your mind","feature","","2026-07-03","1","6770682324","Cross Your Mind - Single","cross your mind single","single","","2026-06-10","1","23","1","false","ambiguous_match","One normalized title contains the other.; Version markers are compatible.; Release dates differ by more than 14 days.","non-exact normalized title; date difference greater than one day; credited appearance; collection-level artist-credit incompatibility; identity mapping target-window-assisted"
"G-Space","74DhkMwIjzDieaGm0wvjCj","Regenerate (feat. Injustice)","regenerate feat injustice","single","","2026-07-15","1","6791252644","Regenerate (feat. Injustice) - Single","regenerate feat injustice single","single","","2026-07-15","1","0","1","true","strong_probable_match","One normalized title contains the other.; Version markers are compatible.; Release dates differ by at most one day.; Track counts agree.","non-exact normalized title; identity mapping target-window-assisted"
"Habstrakt","4H70CGBhsNvP6pAkOQZcsK","Old School","old school","single","","2026-06-05","1","6774158864","Old School - Single","old school single","single","","2026-06-05","1","0","1","true","strong_probable_match","One normalized title contains the other.; Version markers are compatible.; Release dates differ by at most one day.; Track counts agree.","non-exact normalized title; incomplete or truncated Apple catalog"
"Habstrakt","2yNQqnLlFhN1hIltm6tDAC","Mine","mine","single","","2026-06-17","1","6773214502","Mine - Single","mine single","single","","2026-06-17","1","0","1","true","strong_probable_match","One normalized title contains the other.; Version markers are compatible.; Release dates differ by at most one day.; Track counts agree.","non-exact normalized title; incomplete or truncated Apple catalog"
"Habstrakt","4tTcXAsn8F5urtjioTpHK4","Right Here (Silcrow Remix)","right here silcrow remix","remix","remix","2026-06-26","1","6778331190","Right Here (Silcrow Remix) - Single","right here silcrow remix single","remix","remix","2026-06-26","1","0","1","true","strong_probable_match","One normalized title contains the other.; Version markers are compatible.; Release dates differ by at most one day.; Track counts agree.","non-exact normalized title; incomplete or truncated Apple catalog"
"Habstrakt","5u8LAtgQ9vcp6vTiONUYyJ","Everyday (VIP)","everyday vip","ep","","2026-07-22","2","6788545528","Everyday (VIP) - Single","everyday vip single","single","","2026-07-22","2","0","2","true","ambiguous_match","One normalized title contains the other.; Version markers are compatible.; Single and album or EP appearances are related evidence, not the same confirmed release.","non-exact normalized title; single-versus-album relationship; incomplete or truncated Apple catalog"
"Leotrix","6aFazRjmHYE8EzfH1GzvnO","KEY BINDZ EP","key bindz ep","ep","","2026-07-24","4","6788068877","KEY BINDZ EP - EP","key bindz ep ep","ep","","2026-07-24","4","0","4","true","strong_probable_match","One normalized title contains the other.; Version markers are compatible.; Release dates differ by at most one day.; Track counts agree.","non-exact normalized title; incomplete or truncated Apple catalog"
"Lit Lords","7q9XBVNxiFqGRU2mDheoKu","MR. LORDS","mr lords","single","","2026-06-19","1","6778877501","MR. LORDS - Single","mr lords single","single","","2026-06-19","1","0","1","true","strong_probable_match","One normalized title contains the other.; Version markers are compatible.; Release dates differ by at most one day.; Track counts agree.","non-exact normalized title; incomplete or truncated Apple catalog"
"Lit Lords","2pxvUh99gvu5Yo1wBquEde","BOW DOWN","bow down","single","","2026-06-26","1","6781382798","BOW DOWN - Single","bow down single","single","","2026-06-26","1","0","1","true","strong_probable_match","One normalized title contains the other.; Version markers are compatible.; Release dates differ by at most one day.; Track counts agree.","non-exact normalized title; incomplete or truncated Apple catalog"
"Lit Lords","1oOgyMgAGXosB4NgoAszIU","Blackout","blackout","single","","2026-07-03","1","6784315987","Blackout - Single","blackout single","single","","2026-07-03","1","0","1","true","strong_probable_match","One normalized title contains the other.; Version markers are compatible.; Release dates differ by at most one day.; Track counts agree.","non-exact normalized title; incomplete or truncated Apple catalog"
"Lit Lords","6JtLByeFH0kii0jjt0U0qQ","Screech Messiah","screech messiah","single","","2026-07-10","1","6786478424","Screech Messiah - Single","screech messiah single","single","","2026-07-10","1","0","1","true","strong_probable_match","One normalized title contains the other.; Version markers are compatible.; Release dates differ by at most one day.; Track counts agree.","non-exact normalized title; incomplete or truncated Apple catalog"
"Lit Lords","6ZcGSHtRQJDHCzJ11A23QP","BANG!","bang","single","","2026-07-17","1","6786788012","BANG! - Single","bang single","single","","2026-07-17","1","0","1","true","strong_probable_match","One normalized title contains the other.; Version markers are compatible.; Release dates differ by at most one day.; Track counts agree.","non-exact normalized title; incomplete or truncated Apple catalog"
"Lit Lords","605NHs6Nkbf9nss4JIjZuB","BLITZ!","blitz","single","","2026-07-24","1","6790562957","BLITZ! - Single","blitz single","single","","2026-07-24","1","0","1","true","strong_probable_match","One normalized title contains the other.; Version markers are compatible.; Release dates differ by at most one day.; Track counts agree.","non-exact normalized title; incomplete or truncated Apple catalog"
"Martin Garrix","5uCUphHmsb2vwkIOKEbLjo","Repeat It","repeat it","ep","","2026-06-26","3","6783834492","Repeat It (2015 Version) - Single","repeat it 2015 version single","single","","2026-06-26","2","0","2","true","invalid_match","One normalized title contains the other.; Version markers are compatible.; Track counts conflict.","non-exact normalized title; single-versus-album relationship; track-count difference; incomplete or truncated Apple catalog"
"Martin Garrix","2i0voSjIwQHIPFK44NZ5K1","Bizarre","bizarre","feature","","2026-07-02","1","6786047734","Bizarre - Single","bizarre single","single","","2026-07-03","1","1","1","false","strong_probable_match","One normalized title contains the other.; Version markers are compatible.; Release dates differ by at most one day.; Track counts agree.","non-exact normalized title; credited appearance; incomplete or truncated Apple catalog; collection-level artist-credit incompatibility"
"Martin Garrix","6VYjqAdWExFAfDdAudVT23","Fireflies","fireflies","single","","2026-07-24","1","6788997127","Fireflies - Single","fireflies single","single","","2026-07-24","1","0","1","true","strong_probable_match","One normalized title contains the other.; Version markers are compatible.; Release dates differ by at most one day.; Track counts agree.","non-exact normalized title; incomplete or truncated Apple catalog"
"MashBit","3gS9s200pDbRgFKxWqHHLW","I Can’t Breathe","i can t breathe","single","","2026-06-05","1","1895170923","I Can’t Breathe - Single","i can t breathe single","single","","2026-06-05","1","0","1","true","strong_probable_match","One normalized title contains the other.; Version markers are compatible.; Release dates differ by at most one day.; Track counts agree.","non-exact normalized title; identity mapping target-window-assisted"
"MashBit","3DKtZGj3lSLp1x1YwJsUFR","Broken Angel","broken angel","single","","2026-07-17","1","6778826188","Broken Angel - Single","broken angel single","single","","2026-07-17","1","0","1","true","strong_probable_match","One normalized title contains the other.; Version markers are compatible.; Release dates differ by at most one day.; Track counts agree.","non-exact normalized title; identity mapping target-window-assisted"
"Monxx","17ERyDEvFozLK0DDdqKoJR","WOOK FLU (VIP)","wook flu vip","single","","2026-06-12","1","6776035311","WOOK FLU (VIP) - Single","wook flu vip single","single","","2026-06-12","1","0","1","true","strong_probable_match","One normalized title contains the other.; Version markers are compatible.; Release dates differ by at most one day.; Track counts agree.","non-exact normalized title"
"Monxx","1YTjQJCtAepslaOdcrDW2T","DUCK DUB","duck dub","single","","2026-06-19","1","6778528061","DUCK DUB - Single","duck dub single","single","","2026-06-19","1","0","1","true","strong_probable_match","One normalized title contains the other.; Version markers are compatible.; Release dates differ by at most one day.; Track counts agree.","non-exact normalized title"
"Monxx","1xERQjWaT5StlfKVTFu0lu","OLD BUT GOLD MINIMIX","old but gold minimix","single","","2026-07-10","1","6788082436","OLD BUT GOLD MINIMIX - EP","old but gold minimix ep","single","","2026-07-10","1","0","1","true","strong_probable_match","One normalized title contains the other.; Version markers are compatible.; Release dates differ by at most one day.; Track counts agree.","non-exact normalized title"
"MUST DIE!","5oCF5EFUgBWrauLZTViL7d","BREAK MY HEART","break my heart","single","","2026-06-05","1","6774160036","BREAK MY HEART - Single","break my heart single","single","","2026-06-05","1","0","1","true","strong_probable_match","One normalized title contains the other.; Version markers are compatible.; Release dates differ by at most one day.; Track counts agree.","non-exact normalized title; incomplete or truncated Apple catalog"
"MUST DIE!","4EcXb5zqg5cgQqzIBwD0D8","BLOODBATH AND BEYOND","bloodbath and beyond","album","","2026-07-10","9","6781408973","BLOODBATH AND BEYOND","bloodbath and beyond","album","","2026-07-10","9","0","9","true","exact_match","Normalized titles are identical.; Version markers are compatible.; Release dates differ by at most one day.; Track counts agree.","incomplete or truncated Apple catalog"
"NURKO","3sh7lEeB7BNbL0M9WaxrIF","The Longest Night","the longest night","remix","remix","2026-06-05","1","6771523917","The Longest Night (VNDETTA Remix) (feat. Valerie Broussard) - Single","the longest night vndetta remix feat valerie broussard single","remix","remix","2026-06-05","1","0","0","true","strong_probable_match","One normalized title contains the other.; Version markers are compatible.; Release dates differ by at most one day.; Track counts agree.","non-exact normalized title; incomplete or truncated Apple catalog"
"NURKO","6qEstEnPhVyGQxx5gI7X4W","Pretty Lies","pretty lies","ep","","2026-06-26","6","6772341407","Pretty Lies - EP","pretty lies ep","ep","","2026-06-26","6","0","6","true","strong_probable_match","One normalized title contains the other.; Version markers are compatible.; Release dates differ by at most one day.; Track counts agree.","non-exact normalized title; incomplete or truncated Apple catalog"
"NURKO","2OlAABUA3J7b6ZEww9sLuw","I Want You (PatFromLastYear Remix)","i want you patfromlastyear remix","remix","remix","2026-07-17","2","6786820182","I Want You (PatFromLastYear Remix) - Single","i want you patfromlastyear remix single","remix","remix","2026-07-17","2","0","1","true","strong_probable_match","One normalized title contains the other.; Version markers are compatible.; Release dates differ by at most one day.; Track counts agree.","non-exact normalized title; incomplete or truncated Apple catalog"
"NXSTY","7Hc9XvaqdMYHLEapsb2xTe","Bounce Check","bounce check","single","","2026-06-19","1","6768806028","Bounce Check - Single","bounce check single","single","","2026-06-19","1","0","1","true","strong_probable_match","One normalized title contains the other.; Version markers are compatible.; Release dates differ by at most one day.; Track counts agree.","non-exact normalized title; identity mapping target-window-assisted"
"NXSTY","071XFwKBJkSULVUfVVaEkt","BAG IT UP","bag it up","feature","","2026-07-17","1","6779294674","BAG IT UP - Single","bag it up single","single","","2026-07-17","1","0","1","false","strong_probable_match","One normalized title contains the other.; Version markers are compatible.; Release dates differ by at most one day.; Track counts agree.","non-exact normalized title; credited appearance; collection-level artist-credit incompatibility; identity mapping target-window-assisted"
"NXSTY","75TrrvY3V0hDp7J7AIfWrI","DOPAMINE","dopamine","single","","2026-07-24","1","6774621016","DOPAMINE - Single","dopamine single","single","","2026-07-24","1","0","1","true","strong_probable_match","One normalized title contains the other.; Version markers are compatible.; Release dates differ by at most one day.; Track counts agree.","non-exact normalized title; identity mapping target-window-assisted"
"SampliFire","3qCE9bmdvJErQx58JyoC1J","Tear It Up","tear it up","single","","2026-06-05","1","6774162651","Tear It Up (feat. XAE) - Single","tear it up feat xae single","single","","2026-06-05","1","0","0","true","strong_probable_match","One normalized title contains the other.; Version markers are compatible.; Release dates differ by at most one day.; Track counts agree.","non-exact normalized title; incomplete or truncated Apple catalog; identity mapping target-window-assisted"
